Name,ISO A3,CDS,,CRP,,Ke,Kd,wacc,f_wacc_c
Abu Dhabi,UAE,0.005,,0.007,,0.02,0.0749,0.0611375,0.76421875
Albania,ALB,0.036,,0.048,,0.06,0.1056,0.0945125,1.18140625
Algeria,DZA,0.030,,0.040,,0.05,0.0998,0.0882125,1.10265625
Andorra (Principality of),AND,0.016,,0.021,,0.03,0.0858,0.0729875,0.91234375
Angola,AGO,0.064,,0.087,,0.10,0.1344,0.1258125,1.57265625
Anguilla,AIA,0.060,,0.081,,0.09,0.1301,0.1211625,1.51453125
Antigua & Barbuda,ATG,0.060,,0.081,,0.09,0.1301,0.1211375,1.51421875
Argentina,ARG,0.119,,0.160,,0.17,0.1888,0.1849625,2.31203125
Armenia,ARM,0.036,,0.048,,0.06,0.1056,0.0945125,1.18140625
Aruba,ABW,0.022,,0.029,,0.04,0.0918,0.0794875,0.99359375
Australia,AUS,0.000,,0.000,,0.01,0.0700,0.0558125,0.69765625
Austria,AUT,0.004,,0.005,,0.02,0.0740,0.0601375,0.75171875
Azerbaijan,AZE,0.025,,0.033,,0.05,0.0948,0.0827625,1.03453125
Bahamas,BHS,0.045,,0.060,,0.07,0.1146,0.1042875,1.30359375
Bahrain,BHR,0.055,,0.073,,0.09,0.1245,0.1150375,1.43796875
Bangladesh,BGD,0.055,,0.073,,0.09,0.1245,0.1150375,1.43796875
Barbados,BRB,0.064,,0.087,,0.10,0.1344,0.1258125,1.57265625
Belarus,BLR,0.175,,0.236,,0.25,0.2450,0.2460375,3.07546875
Belgium,BEL,0.006,,0.008,,0.02,0.0759,0.0622375,0.77796875
Belize,BLZ,0.074,,0.100,,0.11,0.1443,0.1365625,1.70703125
Benin,BEN,0.045,,0.060,,0.07,0.1146,0.1042875,1.30359375
Bermuda,BMU,0.008,,0.011,,0.02,0.0784,0.0649375,0.81171875
Bolivia,BOL,0.099,,0.134,,0.15,0.1691,0.1635125,2.04390625
Bosnia and Herzegovina,BIH,0.064,,0.087,,0.10,0.1344,0.1258125,1.57265625
Botswana,BWA,0.012,,0.016,,0.03,0.0819,0.0687375,0.85921875
Brazil,BRA,0.025,,0.033,,0.05,0.0948,0.0827625,1.03453125
British Virgin Islands,VGB,0.060,,0.081,,0.09,0.1301,0.1211625,1.51453125
Brunei,BRN,0.006,,0.008,,0.02,0.0759,0.0622375,0.77796875
Bulgaria,BGR,0.016,,0.021,,0.03,0.0858,0.0729875,0.91234375
Burkina Faso,BFA,0.074,,0.100,,0.11,0.1443,0.1365625,1.70703125
Cambodia,KHM,0.055,,0.073,,0.09,0.1245,0.1150375,1.43796875
Cameroon,CMR,0.074,,0.100,,0.11,0.1443,0.1365625,1.70703125
Canada,CAN,0.000,,0.000,,0.01,0.0700,0.0558125,0.69765625
Cape Verde,CPV,0.055,,0.073,,0.09,0.1245,0.1150375,1.43796875
Cayman Islands,CYM,0.006,,0.008,,0.02,0.0759,0.0622375,0.77796875
Chile,CHL,0.008,,0.011,,0.02,0.0784,0.0649375,0.81171875
China,CHN,0.007,,0.009,,0.02,0.0770,0.0634125,0.79265625
Colombia,COL,0.019,,0.025,,0.04,0.0889,0.0763375,0.95421875
Congo (Democratic Republic of),COD,0.064,,0.087,,0.10,0.1344,0.1258125,1.57265625
Congo (Republic of),COG,0.089,,0.120,,0.13,0.1592,0.1527625,1.90953125
Cook Islands,COK,0.045,,0.060,,0.07,0.1146,0.1042875,1.30359375
Costa Rica,CRI,0.036,,0.048,,0.06,0.1056,0.0945125,1.18140625
Croatia,HRV,0.012,,0.016,,0.03,0.0819,0.0687375,0.85921875
Cuba,CUB,0.119,,0.160,,0.17,0.1888,0.1849625,2.31203125
Curaçao,CUW,0.022,,0.029,,0.04,0.0918,0.0794875,0.99359375
Cyprus,CYP,0.012,,0.016,,0.03,0.0819,0.0687375,0.85921875
Czech Republic,CZE,0.006,,0.008,,0.02,0.0759,0.0622375,0.77796875
Denmark,DNK,0.000,,0.000,,0.01,0.0700,0.0558125,0.69765625
Dominican Republic,DOM,0.036,,0.048,,0.06,0.1056,0.0945125,1.18140625
Ecuador,ECU,0.099,,0.134,,0.15,0.1691,0.1635125,2.04390625
Egypt,EGY,0.074,,0.100,,0.11,0.1443,0.1365625,1.70703125
El Salvador,SLV,0.064,,0.087,,0.10,0.1344,0.1258125,1.57265625
Estonia,EST,0.007,,0.009,,0.02,0.0770,0.0634125,0.79265625
Ethiopia,ETH,0.089,,0.120,,0.13,0.1592,0.1527625,1.90953125
Falkland Islands (the) [Malvinas],FLK,0.036,,0.048,,0.06,0.1058,0.0947125,1.18390625
Fiji,FJI,0.045,,0.060,,0.07,0.1146,0.1042875,1.30359375
Finland,FIN,0.004,,0.005,,0.02,0.0740,0.0601375,0.75171875
France,FRA,0.006,,0.008,,0.02,0.0759,0.0622375,0.77796875
French Guiana,GUF,0.036,,0.048,,0.06,0.1058,0.0947125,1.18390625
Gabon,GAB,0.089,,0.120,,0.13,0.1592,0.1527625,1.90953125
Gambia,GMB,0.045,,0.060,,0.07,0.1146,0.1042875,1.30359375
Georgia,GEO,0.030,,0.040,,0.05,0.0998,0.0882125,1.10265625
Germany,DEU,0.000,,0.000,,0.01,0.0700,0.0558125,0.69765625
Ghana,GHA,0.089,,0.120,,0.13,0.1592,0.1527625,1.90953125
Gibraltar,GIB,0.008,,0.011,,0.02,0.0783,0.0648375,0.81046875
Greece,GRC,0.025,,0.033,,0.05,0.0948,0.0827625,1.03453125
Greenland,GRL,0.008,,0.011,,0.02,0.0783,0.0648375,0.81046875
Guatemala,GTM,0.025,,0.033,,0.05,0.0948,0.0827625,1.03453125
Guernsey (States of),GGY,0.007,,0.009,,0.02,0.0770,0.0634125,0.79265625
Guinea,GIN,0.089,,0.120,,0.13,0.1592,0.1527625,1.90953125
Guinea-Bissau,GNB,0.064,,0.087,,0.10,0.1344,0.1258125,1.57265625
Guyana,GUY,0.016,,0.021,,0.03,0.0858,0.0729875,0.91234375
Haiti,HTI,0.119,,0.160,,0.17,0.1888,0.1849625,2.31203125
Honduras,HND,0.045,,0.060,,0.07,0.1146,0.1042875,1.30359375
Hong Kong,HKG,0.006,,0.008,,0.02,0.0759,0.0622375,0.77796875
Hungary,HUN,0.019,,0.025,,0.04,0.0889,0.0763375,0.95421875
Iceland,ISL,0.007,,0.009,,0.02,0.0770,0.0634125,0.79265625
India,IND,0.022,,0.029,,0.04,0.0918,0.0794875,0.99359375
Indonesia,IDN,0.019,,0.025,,0.04,0.0889,0.0763375,0.95421875
Iran,IRN,0.064,,0.087,,0.10,0.1344,0.1258125,1.57265625
Iraq,IRQ,0.074,,0.100,,0.11,0.1443,0.1365625,1.70703125
Ireland,IRL,0.006,,0.008,,0.02,0.0759,0.0622375,0.77796875
Isle of Man,IMN,0.006,,0.008,,0.02,0.0759,0.0622375,0.77796875
Israel,ISR,0.016,,0.021,,0.03,0.0858,0.0729875,0.91234375
Italy,ITA,0.022,,0.029,,0.04,0.0918,0.0794875,0.99359375
Ivory Coast,CIV,0.030,,0.040,,0.05,0.0998,0.0882125,1.10265625
Jamaica,JAM,0.045,,0.060,,0.07,0.1146,0.1042875,1.30359375
Japan,JPN,0.007,,0.009,,0.02,0.0770,0.0634125,0.79265625
Jersey (States of),JEY,0.005,,0.007,,0.02,0.0749,0.0611375,0.76421875
Jordan,JOR,0.036,,0.048,,0.06,0.1056,0.0945125,1.18140625
Kazakhstan,KAZ,0.016,,0.021,,0.03,0.0858,0.0729875,0.91234375
Kenya,KEN,0.074,,0.100,,0.11,0.1443,0.1365625,1.70703125
"Korea, D.P.R. (North Korea)",PRK,0.119,,0.160,,0.17,0.1888,0.1849625,2.31203125
Kuwait,KWT,0.007,,0.009,,0.02,0.0770,0.0634125,0.79265625
Kyrgyzstan,KGZ,0.064,,0.087,,0.10,0.1344,0.1258125,1.57265625
Laos,LAO,0.099,,0.134,,0.15,0.1691,0.1635125,2.04390625
Latvia,LVA,0.012,,0.016,,0.03,0.0819,0.0687375,0.85921875
Lebanon,LBN,0.175,,0.236,,0.25,0.2450,0.2460375,3.07546875
Liberia,LBR,0.089,,0.120,,0.13,0.1592,0.1527625,1.90953125
Libya,LBY,0.016,,0.021,,0.03,0.0858,0.0729875,0.91234375
Liechtenstein,LIE,0.000,,0.000,,0.01,0.0700,0.0558125,0.69765625
Lithuania,LTU,0.008,,0.011,,0.02,0.0784,0.0649375,0.81171875
Luxembourg,LUX,0.000,,0.000,,0.01,0.0700,0.0558125,0.69765625
Macau,MAC,0.006,,0.008,,0.02,0.0759,0.0622375,0.77796875
Macedonia (Republic of),MKD,0.036,,0.048,,0.06,0.1056,0.0945125,1.18140625
Madagascar,MDG,0.055,,0.073,,0.09,0.1245,0.1150375,1.43796875
Malawi,MWI,0.089,,0.120,,0.13,0.1592,0.1527625,1.90953125
Malaysia,MYS,0.012,,0.016,,0.03,0.0819,0.0687375,0.85921875
Maldives,MDV,0.089,,0.120,,0.13,0.1592,0.1527625,1.90953125
Mali,MLI,0.089,,0.120,,0.13,0.1592,0.1527625,1.90953125
Malta,MLT,0.008,,0.011,,0.02,0.0784,0.0649375,0.81171875
Martinique,MTQ,0.060,,0.081,,0.09,0.1301,0.1211625,1.51453125
Mauritius,MUS,0.022,,0.029,,0.04,0.0918,0.0794875,0.99359375
Mexico,MEX,0.019,,0.025,,0.04,0.0889,0.0763375,0.95421875
Moldova,MDA,0.064,,0.087,,0.10,0.1344,0.1258125,1.57265625
Monaco,MCO,0.000,,0.000,,0.01,0.0700,0.0558125,0.69765625
Mongolia,MNG,0.055,,0.073,,0.09,0.1245,0.1150375,1.43796875
Montenegro,MNE,0.045,,0.060,,0.07,0.1146,0.1042875,1.30359375
Montserrat,MSR,0.022,,0.029,,0.04,0.0918,0.0794875,0.99359375
Morocco,MAR,0.025,,0.033,,0.05,0.0948,0.0827625,1.03453125
Mozambique,MOZ,0.089,,0.120,,0.13,0.1592,0.1527625,1.90953125
Myanmar,MMR,0.099,,0.134,,0.15,0.1691,0.1635125,2.04390625
Namibia,NAM,0.045,,0.060,,0.07,0.1146,0.1042875,1.30359375
Nepal,NPL,0.036,,0.048,,0.06,0.1056,0.0945125,1.18140625
