Country Name,Country Code,Indicator Name,2024
Aruba,ABW,GDP (current US$),
Africa Eastern and Southern,AFE,GDP (current US$),1.28768E+12
Afghanistan,AFG,GDP (current US$),
Africa Western and Central,AFW,GDP (current US$),6.70026E+11
Angola,AGO,GDP (current US$),80396942242
Albania,ALB,GDP (current US$),27177735528
Andorra,AND,GDP (current US$),4039844390
Arab World,ARB,GDP (current US$),3.70477E+12
United Arab Emirates,ARE,GDP (current US$),5.37079E+11
Argentina,ARG,GDP (current US$),6.33267E+11
Armenia,ARM,GDP (current US$),25786585950
American Samoa,ASM,GDP (current US$),
Antigua and Barbuda,ATG,GDP (current US$),2224814815
Australia,AUS,GDP (current US$),1.75219E+12
Austria,AUT,GDP (current US$),5.21642E+11
Azerbaijan,AZE,GDP (current US$),74315882353
Burundi,BDI,GDP (current US$),2162378759
Belgium,BEL,GDP (current US$),6.64564E+11
Benin,BEN,GDP (current US$),21482643720
Burkina Faso,BFA,GDP (current US$),23250214910
Bangladesh,BGD,GDP (current US$),4.50119E+11
Bulgaria,BGR,GDP (current US$),1.12212E+11
Bahrain,BHR,GDP (current US$),47736702128
"Bahamas, The",BHS,GDP (current US$),15832800000
Bosnia and Herzegovina,BIH,GDP (current US$),28343394203
Belarus,BLR,GDP (current US$),75961865472
Belize,BLZ,GDP (current US$),3515783329
Bermuda,BMU,GDP (current US$),8980200000
Bolivia,BOL,GDP (current US$),49668296744
Brazil,BRA,GDP (current US$),2.17941E+12
Barbados,BRB,GDP (current US$),7165000000
Brunei Darussalam,BRN,GDP (current US$),15463134387
Bhutan,BTN,GDP (current US$),
Botswana,BWA,GDP (current US$),19400774882
Central African Republic,CAF,GDP (current US$),2751544520
Canada,CAN,GDP (current US$),2.24125E+12
Central Europe and the Baltics,CEB,GDP (current US$),2.45556E+12
Switzerland,CHE,GDP (current US$),9.36564E+11
Channel Islands,CHI,GDP (current US$),
Chile,CHL,GDP (current US$),3.30267E+11
China,CHN,GDP (current US$),1.87438E+13
Cote d'Ivoire,CIV,GDP (current US$),86538413923
Cameroon,CMR,GDP (current US$),51326764685
"Congo, Dem. Rep.",COD,GDP (current US$),70749355652
"Congo, Rep.",COG,GDP (current US$),15719985776
Colombia,COL,GDP (current US$),4.18542E+11
Comoros,COM,GDP (current US$),1546164420
Cabo Verde,CPV,GDP (current US$),2767599017
Costa Rica,CRI,GDP (current US$),95350423177
Caribbean small states,CSS,GDP (current US$),91570798876
Cuba,CUB,GDP (current US$),
Curacao,CUW,GDP (current US$),
Cayman Islands,CYM,GDP (current US$),
Cyprus,CYP,GDP (current US$),36333022329
Czechia,CZE,GDP (current US$),3.45037E+11
Germany,DEU,GDP (current US$),4.65993E+12
Djibouti,DJI,GDP (current US$),4086402719
Dominica,DMA,GDP (current US$),688881481.5
Denmark,DNK,GDP (current US$),4.29457E+11
Dominican Republic,DOM,GDP (current US$),1.24282E+11
Algeria,DZA,GDP (current US$),2.6362E+11
East Asia & Pacific (excluding high income),EAP,GDP (current US$),2.22609E+13
Early-demographic dividend,EAR,GDP (current US$),1.60912E+13
East Asia & Pacific,EAS,GDP (current US$),3.18827E+13
Europe & Central Asia (excluding high income),ECA,GDP (current US$),2.42184E+12
Europe & Central Asia,ECS,GDP (current US$),2.91469E+13
Ecuador,ECU,GDP (current US$),1.24676E+11
"Egypt, Arab Rep.",EGY,GDP (current US$),3.8906E+11
Euro area,EMU,GDP (current US$),1.64061E+13
Eritrea,ERI,GDP (current US$),
Spain,ESP,GDP (current US$),1.72275E+12
Estonia,EST,GDP (current US$),42764929169
Ethiopia,ETH,GDP (current US$),
European Union,EUU,GDP (current US$),1.94233E+13
Fragile and conflict affected situations,FCS,GDP (current US$),1.83182E+12
Finland,FIN,GDP (current US$),2.99836E+11
Fiji,FJI,GDP (current US$),5840564073
France,FRA,GDP (current US$),3.16208E+12
Faroe Islands,FRO,GDP (current US$),
"Micronesia, Fed. Sts.",FSM,GDP (current US$),471425099.5
Gabon,GAB,GDP (current US$),20867044936
United Kingdom,GBR,GDP (current US$),3.64383E+12
